station id, station name, valid,povp. dnevna T [°C],oblačnost [%],močan veter,dež,sneg
_1895,LJUBLJANA - BEŽIGRAD,2012-01-01,1.4,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-02,5.3,93,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-03,5.8,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-04,5.9,80,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-05,4.7,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-06,4.7,47,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-07,2.7,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-08,2.7,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-09,3.7,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-10,3,17,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-11,1.5,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-12,3,3,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-13,2.2,43,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-14,2.2,17,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-15,-1.1,13,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-16,-3.2,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-17,-0.7,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-18,-0.7,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-19,3,93,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-20,2.3,63,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-21,0.1,30,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-22,7.8,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-23,5.9,47,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-24,2.9,63,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-25,-0.3,10,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-26,-1.8,23,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-27,-2.2,23,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-28,-1.3,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-01-29,-1.7,83,ne,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-01-30,-2,40,ne,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-01-31,-4.7,67,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-02-01,-3.2,90,da,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-02,-5.8,93,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-02-03,-7.6,97,da,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-04,-8.3,100,da,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-05,-9,73,ne,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-06,-8.8,87,ne,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-07,-6.1,87,da,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-08,-5.7,13,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-02-09,-6.7,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-02-10,-7.1,77,da,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-11,-7.9,97,da,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-12,-7.5,100,ne,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-13,-5,73,ne,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-14,-5.6,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-02-15,-1.1,73,da,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-02-16,3.8,7,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-02-17,2.5,27,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-02-18,3.7,30,ne,ne,ne
